Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: one-sided violence,Deaths in ongoing conflicts (best estimate) - Conflict type: non-state conflict,Deaths in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Deaths in ongoing conflicts (best estimate) - Conflict type: intrastate,Deaths in ongoing conflicts (best estimate) - Conflict type: interstate
Africa,,1989,3598,2507,0,34873,0
Africa,,1990,6574,1373,0,64839,0
Africa,,1991,5754,2707,0,25480,0
Africa,,1992,4087,7461,0,6887,0
Africa,,1993,8530,11167,0,15064,0
Africa,,1994,777738,3812,0,9605,0
Africa,,1995,10345,2404,0,6682,0
Africa,,1996,37294,3414,0,7611,56
Africa,,1997,18376,2402,0,23582,0
Africa,,1998,9294,2810,0,22274,1000
Africa,,1999,8273,4428,0,14014,47192
Africa,,2000,2782,5190,0,9714,50000
Africa,,2001,2258,3446,0,10595,0
Africa,,2002,9497,4996,0,7249,0
Africa,,2003,9434,2891,0,6430,0
Africa,,2004,7980,3245,0,5999,0
Africa,,2005,1977,1552,0,1588,0
Africa,,2006,1691,2144,0,3694,0
Africa,,2007,1157,1158,0,3379,0
Africa,,2008,1987,1457,0,4648,35
Africa,,2009,3664,3088,0,5610,0
Africa,,2010,1151,2008,0,3971,0
Africa,,2011,1815,3701,0,8422,0
Africa,,2012,1799,2460,0,6160,367
Africa,,2013,4989,3050,0,7203,0
Africa,,2014,9004,4885,0,10333,0
Africa,,2015,6580,3608,0,10282,0
Africa,,2016,3304,3038,0,9949,25
Africa,,2017,3850,4720,0,9425,0
Africa,,2018,2919,5392,0,6838,0
Africa,,2019,3980,2939,0,8391,0
Africa,,2020,7711,3574,0,11012,0
Africa,,2021,8848,3569,0,19445,0
Africa,,2022,8460,4414,0,112726,0
Americas,,1989,699,0,0,7872,843
Americas,,1990,935,41,0,2610,0
Americas,,1991,709,90,0,2183,0
Americas,,1992,544,0,0,2726,0
Americas,,1993,436,72,0,912,0
Americas,,1994,528,155,0,1558,0
Americas,,1995,220,65,0,1028,99
Americas,,1996,231,0,0,1309,0
Americas,,1997,289,110,0,653,0
Americas,,1998,506,216,0,964,0
Americas,,1999,583,175,0,1449,0
Americas,,2000,1977,526,0,1870,0
